evaluation_id,intern_id,project_id,score,feedback,evaluator
35,334,112,9.0,Town difference mind clearly significant prove dinner effort.,Team Lead
36,258,195,9.3,Story water small beat find program kitchen may.,Mentor
37,383,172,6.0,Allow thus common model.,Mentor
38,17,58,5.3,Individual risk for.,Mentor
39,154,179,7.6,Work man book then people always.,Mentor
40,482,133,7.7,Forward drive process weight smile soon bring.,Ms. Kaur
41,617,125,5.6,Eat drive sea recent will computer.,Mentor
42,645,154,6.7,Scene modern discuss follow follow attorney.,Dr. Rao
43,131,130,9.3,Have room or create century art arm.,Dr. Rao
44,562,51,8.5,Reveal view world quality across choose door positive.,Mentor
45,525,110,8.8,Enough simple beat relate long.,Team Lead
46,224,164,8.6,Door response skin star.,Supervisor
47,222,126,7.7,From matter participant these international.,Ms. Kaur
48,62,144,7.3,Leader three perhaps practice soon might talk.,Supervisor
49,23,123,7.5,Half business government lay maybe however ten.,Supervisor
50,515,18,6.1,Song experience represent.,Supervisor
51,565,192,9.1,Message prove budget game.,Dr. Rao
52,94,196,7.3,Right example approach gun.,Team Lead
53,497,70,6.3,Just develop artist ground give property.,Mentor
54,666,32,9.1,Study me enjoy feeling somebody begin.,Mentor
55,393,107,9.9,Perform doctor program serious six good clear.,Dr. Rao
56,648,34,5.0,Other we if else.,Supervisor
57,687,152,7.2,Why protect six power speech might.,Team Lead
58,508,76,5.7,Race more through ground reality parent.,Team Lead
59,86,120,9.0,They tree near purpose quality.,Supervisor
60,516,137,9.8,Project today item many.,Team Lead
61,121,160,6.7,Trip customer talk plan.,Supervisor
62,154,147,7.7,Not no hot help education happy.,Dr. Rao
63,420,110,6.4,Offer they radio.,Team Lead
64,632,33,9.0,Rich see vote power something husband.,Dr. Rao
65,421,58,5.9,Try parent leader poor partner either.,Supervisor
66,544,96,9.9,Such nor likely go interview because international.,Ms. Kaur
67,124,3,10.0,Improve history must call.,Ms. Kaur
68,17,154,5.4,Democrat southern per ahead outside buy bad.,Dr. Rao
69,549,149,7.3,Amount week budget.,Mentor
70,672,16,6.2,Interest though world off cut television attorney.,Team Lead
71,218,42,8.3,Movement fact home before matter middle sea.,Team Lead
72,638,102,5.4,Play feeling compare recent agency.,Supervisor
73,271,90,8.8,Together total after far dog area.,Team Lead
74,630,200,9.4,Use loss school across across.,Mentor
75,48,65,7.9,Lose better indeed reason eight sometimes hospital.,Ms. Kaur
76,678,112,5.9,Nation church anyone government.,Team Lead
77,621,197,6.8,Whom rate truth she rich appear.,Mentor
78,183,51,6.2,Meeting different hospital action production worry nothing memory.,Team Lead
79,551,99,9.9,Support daughter no eight heart firm.,Mentor
80,4,59,8.6,Such themselves wind trade this develop.,Ms. Kaur
81,399,80,6.1,High into maintain bad method prevent.,Team Lead
82,100,155,6.9,Mean act rest white.,Supervisor
83,430,106,8.8,May industry could law past culture paper TV.,Supervisor
84,119,187,6.8,Possible plan human where use factor grow.,Supervisor
85,388,156,7.1,Future rate support trial.,Ms. Kaur
86,418,159,7.2,Authority we direction important system area.,Ms. Kaur
87,351,83,7.5,Others nice person improve.,Mentor
88,23,148,5.5,Kid car evidence material right.,Team Lead
89,279,198,8.8,Without thus describe Democrat new full drive.,Team Lead
90,28,111,9.4,Local less indeed position.,Supervisor
91,631,9,9.9,History cell such former soon.,Supervisor
92,419,8,5.4,Color others thus.,Team Lead
93,81,179,5.8,Sort international because research leave star writer chair.,Mentor
94,632,68,5.3,Head respond assume point sometimes subject animal.,Mentor
95,16,190,7.4,Back fine play great finally.,Supervisor
96,338,55,6.6,Kid morning all.,Supervisor
97,85,148,6.7,As certain government happy news surface.,Supervisor
98,512,118,7.8,Plant second piece newspaper test.,Supervisor
99,33,49,6.9,Positive little break throughout protect dinner energy.,Ms. Kaur
100,638,73,9.8,Race never over number.,Dr. Rao
